Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.492	0	0
FBgn0267873	257	86.602	0	0
FBgn0267896	719	548.34	0.001091	0.005
FBgn0260225	1197	1026.01	0.057906	0.497
FBgn0040928	1085	914.006	2.7464	21
FBgn0262789	532	361.42	0	0
FBgn0058461	391	220.526	1.18552	2.187
FBgn0042701	620	449.391	1.69679	6.379
FBgn0263493	352	181.551	0.00028	0
FBgn0265917	359	188.548	0	0
FBgn0262163	610	439.398	0	0
FBgn0085831	237	66.616	0	0
FBgn0267108	321	150.563	4.3146	5.435
FBgn0051032	770	599.318	8.77585	44
FBgn0266102	391	220.526	0.005056	0.009
FBgn0053867	526	355.427	0.819715	2.437
FBgn0267026	323	152.562	0	0
FBgn0267519	2689	2518.01	2112.08	44491
FBgn0058005	1227	1056.01	0.53652	4.74
FBgn0039979	803	632.296	6.99103	36.98
FBgn0053318	523	352.431	0.678343	2
FBgn0053805	440	269.479	0.006569	0.015
FBgn0267419	780	609.313	0	0
FBgn0267892	760	589.321	0.000275	0.001
FBgn0267902	582	411.403	0.000228	0.001
FBgn0262964	777	606.315	0.197149	1
FBgn0085790	1041	870.006	0.151351	1.102
FBgn0267879	601	430.399	0.000236	0.001
FBgn0085291	1130	959.006	0.102313	0.821
FBgn0263093	1190.94	1019.95	16.9429	144.568
FBgn0267952	1290	1119.01	0.106822	1
FBgn0030117	636	465.375	0.046054	0.179
FBgn0058182	291	120.578	1.0226	1.032
FBgn0052518	75	25.494	0	0
FBgn0027934	1345	1174.01	0	0
FBgn0085340	423	252.492	0	0
FBgn0263744	845	674.26	0.177283	1
FBgn0263210	221	50.65	3.59907	1.525
FBtr0346869	123	47.393	25.094	9.949
FBgn0267427	697	526.35	0	0
FBgn0263975	1131	960.006	2.49029	20
FBgn0267869	420	249.494	0.000494	0.001
FBgn0037560	962.888	792.084	49.1971	326
FBgn0263212	220	49.655	0	0
FBgn0085732	1466.78	1295.79	57.1746	619.789
FBgn0267593	610	439.398	0	0
FBgn0058100	394	223.523	4.30242	8.045
FBgn0264888	465	294.469	0.405933	1
FBgn0037143	1446	1275.01	0	0
FBgn0262510	501	330.45	2.67648	7.399
FBgn0263771	276	105.591	0	0
FBgn0053315	421	250.493	0	0
FBgn0050029	480	309.457	0	0
FBgn0085791	1041	870.006	0.133194	0.969
FBgn0085804	252	81.606	0	0
FBgn0267876	766	595.319	0.000276	0.001
FBgn0267494	656	485.364	0	0
FBgn0085792	1211	1040.01	1.92176	16.72
FBgn0053013	2636	2465.01	0	0
FBgn0266211	1668	1497.01	0.95819	12
FBgn0265141	1303	1132.01	0	0
FBgn0051292	441.493	270.976	0.020037	0.046
FBgn0053294	1972.67	1801.68	2.32212	35
FBgn0000280	166	11.956	0	0
FBgn0262885	102	38.549	0	0
FBgn0011812	456	285.473	0	0
FBgn0265533	402.055	231.563	0.00042	0.001
FBgn0052496	778	607.314	2.00598	10.192
FBgn0052009	2998.75	2827.75	0.510155	12.068
FBtr0347033	1076	905.006	0	0
FBgn0262688	493	322.456	0.370701	1
FBgn0053222	541.117	370.532	2.16943	6.724
FBgn0266940	581	410.403	0	0
FBgn0262565	802	631.296	0	0
FBgn0263002	361	190.547	0	0
FBgn0084049	531	360.421	15.392	46.41
FBgn0263211	352	181.551	1.47426	2.239
FBgn0267872	775	604.316	0.000552	0.003
FBgn0262031	330	159.56	31.0585	41.458
FBgn0267014	274	103.592	4.66442	4.042
FBgn0039987	184	20.069	0	0
FBgn0261640	810	639.289	0.563931	3.016
FBgn0052761	71	23.821	0	0
FBgn0267863	274	103.592	0	0
FBgn0052034	74	25.043	0	0
FBgn0262795	735	564.331	0	0
FBgn0261856	450	279.475	0.427712	1
FBgn0051485	73	24.624	0	0
FBgn0267610	864	693.238	0	0
FBgn0262851	1188	1017.01	5.79209	49.279
FBgn0053416	143	39.282	0	0
FBgn0267520	357	186.55	2.83053	4.417
FBgn0085765	30	10.821	0	0
FBgn0267424	659	488.362	0	0
FBgn0030116	1305	1134.01	0	0
FBgn0031135	363	192.546	0.620811	1
FBgn0263213	224	53.638	0	0
FBgn0267878	266	95.597	0	0
FBgn0058441	177	16.291	0	0
FBgn0267864	485	314.461	0	0
FBgn0085500	687	516.353	0.000264	0.001
FBgn0085784	479	308.465	0.001874	0.005
FBgn0262848	1188	1017.01	16.0807	136.815
FBgn0063924	307	136.568	0.000562	0.001
FBgn0262616	554	383.412	0.311766	1
FBgn0267891	718	547.34	0.000814	0.004
FBgn0053491	369	198.544	9.93613	16.504
FBgn0050374	600	429.4	0.278376	1
FBtr0347034	740	569.327	0	0
FBgn0267898	414	243.499	0.000466	0.001
FBgn0260469	924.037	753.265	0.419405	2.643
FBgn0267874	253	82.605	0	0
FBgn0030243	4726.95	4555.95	37.7003	1436.91
FBgn0032269	1867	1696.01	0	0
FBgn0266369	2930	2759.01	17.0701	394
FBgn0032596	775.689	605.004	150.948	764
FBgn0033770	666.1	495.464	0.241258	1
FBgn0259237	2786	2615.01	0	0
FBgn0013685	525	354.429	0	0
FBgn0031021	768	597.318	72.19	360.736
FBgn0033491	3329	3158.01	6.58613	174
FBgn0051141	961	790.205	0.15127	1
FBgn0284082	778	607.314	0.196825	1
FBgn0036396	1352	1181.01	7.085	70
FBgn0036641	885.247	714.473	25.263	151
FBgn0027594	4492.94	4321.95	162.322	5869
FBgn0261954	7896.04	7725.05	42.4597	2744
FBgn0029987	639	468.372	0.255213	1
FBgn0031660	1140.23	969.236	131.468	1066
FBgn0038619	939.877	769.102	21.2927	137
FBgn0001341	3680	3509.01	7.49432	220
FBgn0037541	7048.73	6877.73	25.1238	1445.57
FBgn0016701	1124.89	953.989	65.6571	524
FBgn0039110	1769.51	1598.51	53.8637	720.308
FBgn0038839	2837.5	2666.51	0	0
FBgn0264307	3661.07	3490.07	9.24503	269.929
FBgn0263355	3593.61	3422.61	43.7305	1252.13
FBgn0032482	2180.39	2009.4	184.292	3097.99
FBgn0050082	843	672.262	0.355619	2
FBgn0033698	5896	5725.01	16.1398	773
FBgn0032240	530	359.422	140.36	422.041
FBgn0029925	1070	899.006	23.2685	175
FBgn0039017	1757	1586.01	6.33094	84
FBgn0259711	908	737.229	9.56628	59
FBgn0051140	5817.4	5646.41	5.94904	281.011
FBgn0036813	1221	1050.01	46.4475	408
FBgn0004379	2923.47	2752.48	20.8455	480.001
FBgn0036158	782	611.311	0	0
FBgn0031816	2037.08	1866.09	6.98213	109
FBgn0034923	1676.2	1505.21	23.0301	290
FBgn0039582	1151	980.006	0	0
FBgn0051635	6337.43	6166.44	9.66288	498.477
FBgn0263117	5200.03	5029.04	0.057729	2.429
FBgn0030259	717	546.34	0	0
FBgn0029858	1970.74	1799.74	10.0685	151.593
FBgn0260745	2899.09	2728.1	232.05	5296
FBgn0015791	1157.03	986.039	115.651	954
FBgn0051453	1609.53	1438.54	46.7823	563
FBgn0025574	1987.82	1816.83	15.1324	230
FBgn0039637	3172.43	3001.43	102.711	2579
FBgn0023095	4717.42	4546.42	1.52494	58
FBgn0014022	1444	1273.01	14.6483	156
FBgn0035134	1243	1072.01	0.446022	4
FBgn0044826	3594.86	3423.87	62.0389	1777
FBgn0030937	1405	1234.01	0	0
FBgn0085213	715	544.341	0.219595	1
FBgn0039875	2423.71	2252.72	62.136	1171
FBgn0037736	3968.29	3797.3	0.031479	1
FBgn0024732	2153	1982.01	16.1631	268
FBgn0053700	1116	945.006	0	0
FBgn0260747	1000.37	829.523	239.495	1662
FBgn0038011	1767	1596.01	0	0
FBgn0066365	2782.43	2611.44	0.183094	4
FBgn0039863	5856.68	5685.69	30.5265	1452
FBgn0037721	826.929	656.2	0.728648	4
